siblings,height07,height16,height33,gwage33,momed,daded,Ht16Noisy
,47.007847,65.354324,66.929131,12.428572,9.5,9.5,70.244843
4,49.999981,,70.078743,7.0270271,,,
4,49.015743,,70.078743,5.1219511,,,
3,47.992119,,68.897636,8.333333,10.5,10.5,
,45.984222,,66.141731,11.333333,9.5,9.5,
4,45.984222,,68.110237,6.8648648,,,
3,45.984222,63.385815,66.929131,4.130435,9.5,10.5,67.57618
5,47.992119,,68.897636,9.1052628,,,
3,50.984219,70.866112,71.653542,10.285714,11.5,11.5,74.888008
5,52.992115,70.866112,72.047241,8.125,10.5,10.5,67.201431
4,45.984222,65.354324,68.110237,8.75,,,66.715858
3,49.999981,68.503929,70.866142,5.8461537,9.5,9.5,65.026398
4,47.992119,65.354324,69.291336,6.2711864,11.5,,65.262802
3,45.984222,64.960617,65.748032,5.4000001,,,68.851601
3,44.999985,67.3228,67.716537,4.8717947,10.5,10.5,67.678146
3,47.007847,,68.503937,7.6923075,9.5,9.5,
4,49.015743,,71.259842,12.631579,,,
4,47.992119,62.598392,70.866142,4.7916665,11.5,11.5,58.463764
,,,72.834648,6.6666665,,,
4,47.992119,68.897636,70.866142,6,9.5,9.5,73.291237
2,49.999981,70.078728,72.047241,8.75,9.5,9.5,67.55777
2,50.984219,67.716507,72.834648,9.090909,9.5,11.5,66.16198
4,49.015743,65.747993,69.291336,5.980392,,,62.814354
4,47.992119,,68.503937,4.1025643,,,
2,49.015743,68.897636,70.472443,14,11.5,11.5,71.198517
5,50.984219,70.866112,71.259842,6.4864864,9.5,10.5,68.383492
2,54.015739,70.866112,73.228348,5.4000001,10.5,11.5,73.913483
,49.015743,69.68502,70.472443,14.4,15,19,73.078377
,44.999985,,66.535431,6.0189476,9.5,9.5,
,,,73.622047,11.666667,,,
3,,,69.685036,7.5,,,
6,45.984222,64.566902,67.716537,7.2820511,10.5,9.5,59.984371
4,47.007847,66.141708,66.929131,4.7435899,10.5,10.5,63.560898
3,49.999981,70.078728,71.259842,5.5285716,10.5,10.5,74.627548
5,49.999981,68.897636,70.078743,11.333333,9.5,9.5,73.552391
4,49.015743,,70.472443,7.5,,,
3,49.015743,68.110222,71.259842,9.4285717,9.5,9.5,64.816635
4,45.984222,,65.354332,4.3103447,,,
,50.984219,,69.685036,6.5813951,9.5,9.5,
3,47.007847,65.747993,69.685036,7.3684211,9.5,9.5,64.216751
3,49.015743,66.929123,70.866142,12.837838,11.5,11.5,62.738438
5,47.007847,65.747993,71.259842,8.6400003,,,66.636505
5,45.984222,67.716507,69.291336,9.2333336,9.5,9.5,68.88623
5,,62.598392,68.897636,7.1111112,10.5,11.5,65.411919
,47.992119,,69.291336,6.0334883,10.5,9.5,
3,54.999973,70.472443,74.015747,9.7297297,9.5,11.5,70.746208
5,47.992119,64.173195,70.472443,6,10.5,9.5,59.818504
3,45.984222,,64.960632,10.755,,,
4,49.999981,68.503929,71.259842,6.3888888,9.5,9.5,69.393211
4,49.015743,68.503929,69.291336,6.25,10.5,9.5,71.123734
2,49.015743,69.291313,72.834648,4.5,,,67.196907
10,47.007847,61.417301,68.110237,5.5555553,,,60.103329
5,44.999985,64.960617,66.535431,4.818182,,,67.428101
3,47.992119,69.68502,70.472443,5.7567568,,,67.309814
8,42.992088,63.385815,64.960632,1.4864864,,,63.660122
5,47.992119,67.3228,68.110237,6.3200002,,,63.003773
5,49.015743,68.110222,70.078743,11.621622,11.5,9.5,67.951248
8,47.007847,61.023594,68.503937,9.5,9.5,9.5,59.138786
,,62.20472,64.566933,4.9846153,9.5,9.5,59.387741
5,47.992119,62.992104,69.685036,5.04,9.5,9.5,59.173595
2,45.984222,64.173195,65.354332,8.5297298,9.5,9.5,68.796692
4,47.007847,65.354324,66.929131,4.1025643,9.5,9.5,65.071892
,39.999992,,61.811024,4.0999999,,,
,47.992119,,66.535431,4.25,,,
2,,65.354324,66.535431,8.5714283,9.5,9.5,62.580391
5,49.015743,66.929123,71.259842,5.5263157,9.5,9.5,63.30365
,47.992119,61.811012,66.141731,20,9.5,9.5,59.295425
,39.999992,65.354324,67.322838,11.314285,10.5,9.5,67.611542
6,45.984222,62.20472,65.748032,6.7674417,9.5,9.5,57.53146
4,49.999981,67.3228,68.897636,6.6071429,8.5,12.5,71.275681
4,47.992119,68.110222,70.472443,7.4324327,11.5,11.5,64.030426
,,70.078728,72.834648,5.1282053,9.5,9.5,67.807014
5,50.984219,68.503929,70.866142,4.181818,9.5,9.5,66.945457
,50.984219,,74.803146,4.8717947,,,
3,52.992115,67.716507,68.897636,17.5,12.5,13.5,71.173668
4,49.999981,66.929123,70.866142,9.7368422,10.5,10.5,71.144043
5,47.992119,66.141708,70.866142,12,15,15,64.452873
,,,71.653542,8.3999996,9.5,9.5,
4,47.007847,64.566902,65.748032,7.1944447,9.5,9.5,64.139725
5,45.984222,,64.566933,7.311111,,,
3,49.015743,68.110222,70.472443,8,9.5,12.5,72.115318
3,47.007847,64.173195,69.291336,3,9.5,9.5,62.720325
5,47.992119,62.992104,67.716537,9.375,,,63.608585
,49.999981,,70.078743,4.0740743,,,
3,,67.3228,67.716537,7.6111112,9.5,9.5,71.762634
9,47.007847,,67.716537,4.9729729,,,
6,47.007847,,66.929131,5.5323076,9.5,9.5,
9,44.999985,62.992104,68.503937,5.3333335,9.5,9.5,61.839447
4,47.992119,66.929123,68.503937,11.2,11.5,11.5,69.258255
8,42.992088,61.811012,64.566933,6.5,9.5,9.5,63.646111
10,49.015743,62.20472,69.291336,8.0555553,12.5,9.5,63.839962
5,,66.929123,70.472443,9.25,10.5,10.5,64.006783
3,47.992119,64.173195,64.960632,5.1827025,9.5,9.5,63.020149
,52.007839,66.929123,71.653542,6.551724,10.5,10.5,69.711433
,47.992119,68.897636,70.472443,2.6666667,9.5,9.5,71.893684
2,50.984219,68.110222,70.866142,7,9.5,9.5,63.714958
4,49.999981,66.141708,66.929131,5.652174,11.5,,61.219925
,,72.047241,72.440948,5,,,68.742416
,47.007847,,70.078743,7.8857141,,,
4,49.015743,,69.291336,8.0540543,10.5,10.5,
2,47.007847,,67.322838,8.333333,,,
4,49.999981,70.078728,74.409447,14,,,71.70932
4,50.984219,,69.685036,6.810811,,,
5,50.984219,70.078728,74.015747,6.9499998,9.5,9.5,71.570061
4,,67.716507,67.716537,6.818182,10.5,,68.002007
4,,69.291313,72.834648,5.7951221,10.5,10.5,68.219437
5,42.992088,61.417301,63.385826,3.9189188,10.5,10.5,62.501911
,,,70.472443,7.7837839,,,
6,50.984219,68.897636,68.897636,7.2558141,9.5,9.5,66.676903
3,49.015743,65.747993,68.897636,5.3333335,9.5,9.5,62.831497
,47.007847,66.141708,67.716537,6,9.5,9.5,66.432686
3,52.992115,,71.259842,9.7263155,,,
3,49.015743,65.747993,68.503937,4.2222223,10.5,10.5,65.998581
3,50.984219,70.866112,70.866142,120,11.5,9.5,68.283592
15,44.999985,64.173195,68.110237,3.8974359,,,65.885139
9,45.984222,62.20472,64.960632,5.818182,10.5,9.5,60.600845
2,50.984219,72.834625,75.590553,8.8205128,9.5,9.5,74.848434
3,49.999981,70.078728,73.622047,7.2368422,9.5,9.5,74.696312
3,47.992119,66.535416,70.078743,5.3513513,11.5,9.5,70.983292
3,49.015743,68.503929,68.897636,6.1538463,10.5,11.5,65.735809
3,47.992119,63.385815,64.566933,8.8031998,10.5,10.5,59.43309
3,44.015713,58.661407,64.960632,5.52,10.5,10.5,55.44355
5,,68.503929,71.653542,60,10.5,9.5,64.850868
,44.015713,,67.322838,2.3809524,,,
,,,63.385826,6.9000001,9.5,9.5,
4,47.992119,67.3228,69.685036,7.5,10.5,9.5,66.425407
5,49.999981,65.354324,70.472443,12.5,,,70.158241
5,44.015713,60.23621,64.173225,3.6923077,,9.5,55.816994
7,47.007847,,70.078743,5.340909,,,
7,49.999981,,70.866142,2.7272727,,,
4,50.984219,69.68502,70.472443,8.9473686,9.5,9.5,71.563972
